Date,Open,High,Low,Close,Volume
2016-06-22,2042.2729477993278,2082.0833366453185,2042.2729477993278,2054.216064453125,60166000
2016-06-23,2054.215658180502,2074.1208486667474,2046.253581986004,2062.177734375,30252000
2016-06-24,2050.2348229096597,2062.17793838292,2010.4244379987924,2034.3106689453125,86883500
2016-06-27,2014.4055166244507,2042.2727866172793,2014.4055166244507,2038.291748046875,44316000
2016-06-28,2042.273025600558,2090.0454940356585,2042.273025600558,2074.121337890625,121856000
2016-06-29,2094.0263653518564,2117.91259765625,2094.0263653518564,2117.91259765625,200147000
2016-06-30,2133.8369158947,2141.798993939083,2113.9317207837416,2121.893798828125,186770500
2016-07-01,2129.8557147366787,2145.779869613215,2101.988443702741,2105.969482421875,126695500
2016-07-11,2125.8747531467016,2165.6851417824073,2109.950597692419,2149.760986328125,197073000
2016-07-12,2165.6850568181817,2209.4764825994316,2157.7229794034088,2189.5712890625,190642000
2016-07-13,2197.533935546875,2201.514975285185,2189.571856070256,2197.533935546875,138530500
2016-07-14,2213.457683466832,2221.4197614649142,2201.514566469709,2205.49560546875,148394000
2016-07-15,2201.5145629882813,2233.3628749302457,2201.5145629882813,2229.3818359375,195893000
2016-07-18,2213.4578433019715,2229.3820004480285,2201.5147254424282,2221.419921875,116023000
2016-07-19,2229.3820681271854,2281.135580422995,2229.3820681271854,2277.154541015625,195665500
2016-07-20,2285.116613896248,2305.021810881407,2281.135574499216,2301.040771484375,142149000
2016-07-21,2312.983317057292,2336.869547526042,2309.0022786458335,2316.96435546875,202871500
2016-07-22,2309.0026036063896,2324.9267594933303,2269.192213889038,2312.983642578125,111507000
2016-07-25,2312.983724659887,2320.9458028859103,2289.0974899818157,2309.002685546875,111434500
2016-07-26,2312.983728920541,2312.983728920541,2261.230220356054,2285.116455078125,138118000
2016-07-27,2297.0591634114585,2332.8885091145835,2293.078125,2316.96435546875,208198500
2016-07-28,2309.0021968425044,2309.0021968425044,2277.1538906791593,2297.05908203125,94670000
2016-07-29,2309.002850278439,2328.908047263598,2301.040771484375,2301.040771484375,115674000
2016-08-01,2289.0974798122375,2384.6424181000525,2289.0974798122375,2368.71826171875,221091000
2016-08-02,2368.718096923828,2388.623291015625,2360.756019287109,2388.623291015625,158875000
2016-08-03,2388.622883842863,2396.5849601223395,2376.679769423649,2384.641845703125,115363500
2016-08-04,2388.623291015625,2400.566407470703,2384.6422521972654,2388.623291015625,131859500
2016-08-05,2396.585042587179,2428.4333488009624,2388.6229660337335,2404.547119140625,175943500
2016-08-08,2412.509195694071,2436.395425354408,2384.6419277570108,2404.547119140625,79174000
2016-08-09,2404.5474462890625,2404.5474462890625,2380.6612133789063,2388.623291015625,96702000
2016-08-10,2388.622965222617,2388.622965222617,2364.736735570391,2380.660888671875,64883500
2016-08-11,2404.547118324101,2404.547118324101,2372.698812121133,2380.660888671875,107876500
2016-08-12,2392.604329833984,2424.452640380859,2380.6612133789063,2388.623291015625,131484500
2016-08-15,2412.509359264691,2424.452474904615,2388.6231279848425,2396.585205078125,104034500
2016-08-16,2420.471681301653,2420.471681301653,2404.547525503616,2408.528564453125,60200500
2016-08-18,2408.5280769749693,2436.3953439812913,2408.5280769749693,2420.47119140625,186254500
2016-08-19,2452.3196614583335,2460.28173828125,2428.4334309895835,2436.3955078125,169403500
2016-08-22,2452.3196614583335,2452.3196614583335,2432.414469401042,2436.3955078125,110468500
2016-08-23,2468.2436499462974,2468.2436499462974,2404.5470396251026,2432.414306640625,76704500
2016-08-24,2436.3955078125,2444.357584635417,2432.414469401042,2436.3955078125,111416000
2016-08-25,2444.3577484631146,2444.3577484631146,2384.6421682889345,2428.43359375,71705000
2016-08-26,2428.4332676937706,2428.4332676937706,2412.50911511873,2420.47119140625,48785500
