Date,Open,High,Low,Close,Volume,close_lag_1,close_lag_2,close_lag_3,close_lag_5,close_lag_10,close_lag_20,return_1,return_3,return_5,return_10,return_20,ma_5,close_to_ma_5,ma_10,close_to_ma_10,ma_20,close_to_ma_20,ma_50,close_to_ma_50,volatility_5,volatility_10,volatility_20,volume_ma_5,volume_ratio_5,volume_ma_10,volume_ratio_10,volume_ma_20,volume_ratio_20,daily_range,open_close_ratio,high_close_ratio,low_close_ratio,candle_body,target
2016-09-07,2436.3953439812913,2436.3953439812913,2404.547038831209,2420.47119140625,137103000,2392.604248046875,2388.623291015625,2388.623291015625,2396.585205078125,2436.3955078125,2388.623291015625,0.011647117730449352,0.013333161620928236,0.009966675199994057,-0.006536014516193012,0.013333161620928236,2395.7890625,0.01030229634678026,2400.5662841796875,0.008291754890394243,2406.139685058594,0.005956223754028267,2307.4100317382813,0.04899916274646432,0.005689985026451287,0.005899474737909548,0.004810738175723707,80426200.0,1.7047056804872045,80343000.0,1.7064710055636458,96307825.0,1.423591489061247,0.013157894736842037,1.006578947368421,1.006578947368421,0.9934210526315791,-0.006535947712418359,2416.490478515625
2016-09-08,2436.3956719136117,2436.3956719136117,2412.5094398360275,2416.490478515625,88467500,2420.47119140625,2392.604248046875,2388.623291015625,2388.623291015625,2428.43359375,2380.660888671875,-0.0016446024661471714,0.01166663140429769,0.01166663140429769,-0.004918032457264965,0.01505027029017092,2401.3625,0.006299747962094315,2399.37197265625,0.007134577737200054,2407.9311645507814,0.0035546339907273072,2314.655520019531,0.04399572965191578,0.005336289225151104,0.005841172307833383,0.004751155751820663,86873800.0,1.0183450016000222,82019250.0,1.0786187388936135,97487025.0,0.9074797389703911,0.00988467874794063,1.0082372322899504,1.0082372322899504,0.9983525535420098,-0.008169934640522764,2396.585205078125
2016-09-09,2416.490397811332,2416.490397811332,2384.642089438201,2396.585205078125,86764000,2416.490478515625,2420.47119140625,2392.604248046875,2388.623291015625,2420.47119140625,2380.660888671875,-0.008237265412163852,0.0016638593843925076,0.0033332648527908404,-0.00986832085129985,0.006689031807102008,2402.9548828125,-0.0026507687597194796,2396.9833740234376,-0.00016611251860465526,2408.7273803710937,-0.005040908901487229,2321.3436694335937,0.03241292387477035,0.007187397140464095,0.006297981171175999,0.00515977467975695,91531000.0,0.9479192841769455,85817100.0,1.0110339314658734,96431400.0,0.8997484221944304,0.013289036544850488,1.0083056478405317,1.0083056478405317,0.9950166112956811,-0.008237232289950594,2392.604248046875
2016-09-13,2396.585286729149,2404.547364093698,2364.7369772709544,2392.604248046875,108835000,2396.585205078125,2416.490478515625,2420.47119140625,2388.623291015625,2392.604248046875,2388.623291015625,-0.0016610955549649642,-0.011513024182363774,0.0016666324263954202,0.0,0.0016666324263954202,2403.75107421875,-0.004637263105747302,2396.9833740234376,-0.0018269321448033393,2408.9264282226563,-0.006775707213202087,2328.509541015625,0.027526065881307904,0.007265025380760887,0.005127964250955694,0.005127975502175786,98409200.0,1.1059433467602622,92610200.0,1.1751945250091242,95298925.0,1.1420380660117624,0.01663893510815317,1.0016638935108153,1.004991680532446,0.9883527454242927,-0.0016611295681062458,2384.641845703125
2016-09-14,2380.6608075633867,2388.622883842863,2356.7745787249582,2384.641845703125,92904000,2392.604248046875,2396.585205078125,2416.490478515625,2392.604248046875,2388.623291015625,2396.585205078125,-0.0033279228481892797,-0.013179705484320237,-0.0033279228481892797,-0.0016668368459251681,-0.004983490405303881,2402.15859375,-0.007292086414465104,2396.5852294921874,-0.004983500541557273,2408.3292602539063,-0.009835621292199948,2335.43654296875,0.02106899580830679,0.007381876156526143,0.005214649878530176,0.005122951942563352,102814700.0,0.9036061963902049,94825650.0,0.9797349134965064,94742400.0,0.980595805046104,0.01335559265442394,0.9983305509181969,1.001669449081803,0.988313856427379,0.0016722408026756683,2404.547119140625
2016-09-15,2420.4712722475165,2436.395425354408,2384.6419277570108,2404.547119140625,159713000,2384.641845703125,2392.604248046875,2396.585205078125,2420.47119140625,2396.585205078125,2408.528564453125,0.008347280105550192,0.0033221911099299284,-0.006578914189172114,0.0033221911099299284,-0.001653061280344037,2398.973779296875,0.0023232183243717675,2397.3814208984377,0.0029889687889137484,2408.1301879882812,-0.001487904958597519,2342.04505859375,0.026686959039295077,0.006032353713956507,0.005795936813932074,0.0053534087108597665,107336700.0,1.4879626446499659,93881450.0,1.7012199960695111,99718025.0,1.6016462419908537,0.02152317880794687,1.0066225165562914,1.0132450331125826,0.9917218543046359,-0.006578947368421022,2404.547119140625
2016-09-16,2404.547119140625,2424.4523105242397,2388.6229660337335,2404.547119140625,151477000,2404.547119140625,2384.641845703125,2392.604248046875,2416.490478515625,2388.623291015625,2420.47119140625,0.0,0.004991578153177301,-0.004942440072156384,0.006666529705581681,-0.006578914189172114,2396.585107421875,0.0033222319933863265,2398.9738037109373,0.002323208123851339,2407.333984375,-0.0011576562506337984,2347.7777490234375,0.02418004435930987,0.006053986292460195,0.005655784279756955,0.005221511906443815,119938600.0,1.2629545450755637,103406200.0,1.4648734795399114,97979150.0,1.5460125955369075,0.0149006622516557,1.0,1.0082781456953644,0.9933774834437087,0.0,2428.43359375
2016-09-19,2428.43359375,2432.4146324282788,2404.547361680328,2428.43359375,70684000,2404.547119140625,2404.547119140625,2384.641845703125,2396.585205078125,2388.623291015625,2436.3955078125,0.009933876703531519,0.01836407766046011,0.013289070050332974,0.016666630893249046,-0.0032679070524344045,2402.95478515625,0.010603116109857647,2402.954833984375,0.010603095574367671,2406.935888671875,0.008931565306455669,2353.908544921875,0.03166012927260864,0.006059230804467644,0.006352727213795017,0.00550111221612305,116722600.0,0.605572528370684,104126800.0,0.6788262003634031,93043175.0,0.7596903265607606,0.011475409836065606,1.0,1.001639344262295,0.9901639344262295,0.0,2404.547119140625
2016-09-20,2420.4712722475165,2432.414387077685,2404.547119140625,2404.547119140625,74726500,2428.43359375,2404.547119140625,2404.547119140625,2392.604248046875,2388.623291015625,2436.3955078125,-0.00983616544872834,0.0,0.004991578153177301,0.006666529705581681,-0.013071928826723922,2405.343359375,-0.00033102975975207727,2404.547216796875,-4.061315550529798e-08,2405.343469238281,-0.0003310754193073251,2359.88009765625,0.018927665659258075,0.008230238980553684,0.007327190381808257,0.005911443826986094,109900900.0,0.6799443862607131,104155050.0,0.7174544105158607,91256075.0,0.8188660316587142,0.011589403973509927,1.0066225165562914,1.0115894039735098,1.0,-0.006578947368421022,2416.490478515625
2016-09-21,2404.547362476833,2424.4525558748196,2400.5663237972353,2416.490478515625,93367000,2404.547119140625,2428.43359375,2404.547119140625,2384.641845703125,2392.604248046875,2432.414306640625,0.0049669891182122505,0.0049669891182122505,0.013355730073213223,0.009983360385759088,-0.006546511456344883,2411.7130859375,0.001980912491615028,2406.93583984375,0.003969627488074501,2404.5472778320313,0.004966922794032991,2365.2146875,0.0216791276016568,0.007965611701011907,0.0074494375330093196,0.006036050550192844,109993500.0,0.8488410678812839,106404100.0,0.8774755859971561,92089200.0,1.0138756770609365,0.00988467874794063,0.9950576606260297,1.0032948929159802,0.9934102141680395,0.004966887417218512,2444.35791015625
